ā	ᴀᴇ'〔拉-小:@MW〕
ē	ᴇᴇ'〔拉-小:@MW〕
ḵ	ᴋᴅᴇ'〔拉-小:@MW〕
ō	ᴏᴇ'〔拉-小:@MW〕
ȯ	ᴏᴀ'〔拉-小:@MW〕
ü	ᴜʙ'〔拉-小:@MW〕
ɪ	ɪɪ;〔拉-大:@KK,@DJ,@IPA〕
ᴜ	ᴜɪ'〔拉-小:@KK〕
ʊ	ᴡᴋ'〔拉-小:@DJ,@IPA〕
ɔ	ᴄᴋ'@ᴊꜰ'〔拉-小:@KK,@DJ,@IPA〕
æ	ᴀʜᴇ'〔拉-小:@KK,@DJ,@IPA〕
ɒ	ᴀǫ'〔拉-小:@DJ,@IPA〕
ɑ	ᴀɪ'〔拉-小:@KK,@DJ,@IPA〕
ə	ᴇǫ'〔拉-小:@KK,@DJ,@MW,@IPA〕
ɚ	ᴇǫᴋ'〔拉-小:@KK〕
ɛ	ᴇɪ'〔拉-小:@KK,@DJ-old,@IPA〕
ɜ	ᴢɪ'〔拉-小:@DJ,@IPA〕
ɝ	ᴢᴋ'@ᴢʀ'〔拉-小:@KK〕
ʌ	ʟɪ'@ᴠᴋ'〔拉-小:@KK,@DJ,@IPA〕
θ	ǫɪ'〔拉-小:@希-小,@KK,@DJ,@IPA〕
ʃ	sꜰ'〔拉-小:@KK,@DJ,@IPA〕
ð	ᴅꜰx'@ᴅᴛ'@ᴅx'〔拉-小:@KK,@DJ,@IPA〕
ʒ	ᴢꜰ'〔拉-小:@KK,@DJ,@IPA〕
ŋ	ɴᴊ'〔拉-小:@KK,@DJ,@MW,@IPA〕
ɹ	ʀǫ'〔拉-小:@IPA〕
ʧ	ᴛʜsꜰ'@ᴛsꜰ'〔拉-小:@KK,@DJ,@IPA〕
ʤ	ᴅʜᴢꜰ'@ᴅᴢꜰ'〔拉-小:@KK,@DJ,@IPA〕
ː	ᴅꜰᴅꜰ'@ᴅꜰʜᴅꜰ'@ᴅꜰᴋᴅꜰ'@ᴅᴋᴅ'〔拉-小:@DJ,@IPA〕
ˈ	ᴘᴡ'〔拉-小:@KK,@MW,@IPA〕
ˌ	ᴅᴘᴡ'@ᴅʏᴡ'@ʏᴡ'〔拉-小:@KK,@MW,@IPA〕
´	ᴘᴡ'〔拉-小:@KK〕
ˋ	ꜰʏ;;@ɴɴ;;@ɴᴡ'〔拉-小:@KK,@IPA,@注音四聲〕
ˏ	ᴅɴᴡ'@ᴅᴘᴡ'〔拉-小:@KK〕
͵	ᴅᴘᴡ'〔希-小,@KK?〕
ˊ	ᴘᴘ;;@ᴘᴡ'@ʀʏ;;〔拉-小:@IPA,@注音二聲〕
ɱ	ᴍᴊ'〔拉-小:@IPA〕
ɳ	ɴᴄ'〔拉-小:@IPA〕
ɲ	ɴᴊ'〔拉-小:@IPA〕
ɴ	ɴɪ;〔拉-大:@IPA〕
ɖ	ᴅᴄ'@ᴅᴛ'〔拉-小:@IPA〕
ɟ	ᴊᴛ'〔拉-小:@IPA〕
ɡ	ɢɪ'〔拉-小:@IPA〕
ɢ	ɢɪ;〔拉-大:@IPA〕
ʡ	ᴊꜰᴋᴛ'@ᴊꜰᴛꜰ'@ᴊꜰʏᴛ'@ᴊʏᴛ'〔拉-小:@IPA〕
