AB型血	AB型血 🆎️
A型血	A型血 🅰️
B型血	B型血 🅱️
O型血	O型血 🅾️
AB型	AB型 🆎️
A型	A型 🅰️
B型	B型 🅱️
O型	O型 🅾️
CL	CL 🆑️
DNA	DNA 🧬
OK	OK 🆗️ 👌🏻 😉
OK繃	OK繃 🩹
ROCK	ROCK 🤘🏻
COOL	COOL 🆒️
FREE	FREE 🆓️
ID	ID 🆔️
NEW	NEW 🆕️
NG	NG 🆖️
WC	WC 🚾
SOS	SOS 🆘️
UP	UP 🆙️
VS	VS 🆚️
KOKO	KOKO 🈁️
ATM	ATM 🏧
OK手勢	OK手勢 👌🏻‍
T卹	T卹 👕
T裇	T裇 👕
T恤	T恤 👕
OS	OS 💭
DVD	DVD 📀
ON	ON 🔛
ココ	ココ 🈁️
サ	サ 🈂️
〇	〇 0️⃣
㖿	㖿 ✌🏻️
㞎㞎	㞎㞎 💩
䲡魚	䲡魚 🦑
魷魚	魷魚 🦑
一	一 1️⃣
一個人	一個人 👤
一人	一人 👤
一分鐘	一分鐘 ☝🏻️
一卷報紙	一卷報紙 🗞️
一家	一家 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家三口	一家三口 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👧 👩‍👧‍👦
一家四口	一家四口 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一小會	一小會 ☝🏻️
一摞書	一摞書 📚
一摞課本	一摞課本 📚
一束花	一束花 💐
一杯酒	一杯酒 🥃
一點	一點 🕐
一點半	一點半 🕜
一百分	一百分 💯
一碗面	一碗面 🍜
一碗飯	一碗飯 🍚
一碗麵	一碗麵 🍜
一群人	一群人 👥
一邊去	一邊去 😛
一陣間	一陣間 ☝🏻️
七	七 7️⃣
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七星瓢蟲	七星瓢蟲 🐞
七點	七點 🕖
七點半	七點半 🕢
萬聖節	萬聖節 🎃
萬歲	萬歲 🙌🏻
萬那杜	萬那杜 🇻🇺
三	三 3️⃣
三葉草	三葉草 ☘️
三戟叉	三戟叉 🔱
三文治	三文治 🥙 🥪
三明治	三明治 🥙 🥪
三點	三點 🕒
三點半	三點半 🕞
三點裝	三點裝 👙
三角尺	三角尺 📐
三角旗	三角旗 🚩
上	上 ⬆️ 🆙️
上一首	上一首 ⏮️
上下顛倒	上下顛倒 🙃
上廁所	上廁所 🚾
上頭	上頭 👆🏻
上弦月	上弦月 🌓 🌛
上邊	上邊 👆🏻
上鎖	上鎖 🔒
上面	上面 👆🏻
下	下 ⬇️
下一首	下一首 ⏭️
下午好	下午好 🙂
下大雨	下大雨 ☔️
下頭	下頭 👇🏻
下弦月	下弦月 🌗 🌜
下邊	下邊 👇🏻
下雨	下雨 ☔️
下雪	下雪 🌨️
下面	下面 👇🏻
不一定	不一定 😕
不丹	不丹 🇧🇹
不會	不會 😝
不會吧	不會吧 😟 😦
不會啦	不會啦 😝
不信	不信 😓 😳
不准	不准 🚫
不准聽	不准聽 🙉
不准吸煙	不准吸煙 🚭
不准看	不准看 🙈
不准說	不准說 🙊
不可能	不可能 😛 😟
