AB型	AB型 🆎️
AB型血	AB型血 🆎️
ATM	ATM 🏧
A型	A型 🅰️
A型血	A型血 🅰️
B型	B型 🅱️
B型血	B型血 🅱️
CL	CL 🆑️
COOL	COOL 🆒️
DNA	DNA 🧬
DVD	DVD 📀
FREE	FREE 🆓️
ID	ID 🆔️ 🪪
ID卡	ID卡 🪪
KOKO	KOKO 🈁️
K歌	K歌 🪩
NEW	NEW 🆕️
NG	NG 🆖️
OK	OK 🆗️ 👌🏻 😉
OK手勢	OK手勢 👌🏻‍
OK繃	OK繃 🩹
ON	ON 🔛
OS	OS 💭
O型	O型 🅾️
O型血	O型血 🅾️
ROCK	ROCK 🤘🏻
SOS	SOS 🆘️
T恤	T恤 👕
T裇	T裇 👕
UP	UP 🆙️
VS	VS 🆚️
WC	WC 🚾
X光	X光 🩻
〇	〇 0️⃣
ココ	ココ 🈁️
サ	サ 🈂️
㖿	㖿 ✌🏻️
㞎㞎	㞎㞎 💩
一	一 1️⃣
一人	一人 👤
一件式泳裝	一件式泳裝 🩱
一個人	一個人 👤
一分鐘	一分鐘 ☝🏻️
一卷報紙	一卷報紙 🗞️
一堆書	一堆書 📚
一堆課本	一堆課本 📚
一定	一定 🙆🏻
一定女	一定女 🙆🏻‍♀️
一定男	一定男 🙆🏻‍♂️
一家	一家 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家三口	一家三口 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👧 👩‍👧‍👦
一家四口	一家四口 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
一小撮	一小撮 🤌🏻
一小會	一小會 ☝🏻️
一捲報紙	一捲報紙 🗞️
一摞書	一摞書 📚
一摞課本	一摞課本 📚
一撮	一撮 🤌🏻
一束花	一束花 💐
一杯酒	一杯酒 🥃
一男一女	一男一女 👫
一疊書	一疊書 📚
一疊課本	一疊課本 📚
一百分	一百分 💯
一碗飯	一碗飯 🍚
一碗麵	一碗麵 🍜
一群人	一群人 👥
一邊去	一邊去 😛
一陣間	一陣間 ☝🏻️
一隻眼睛	一隻眼睛 👁️
一雙眼睛	一雙眼睛 👀
一點	一點 🕐
一點半	一點半 🕜
一點點	一點點 🤌🏻
一齊	一齊 🧑🏻‍🤝‍🧑🏻
七	七 7️⃣
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七星瓢蟲	七星瓢蟲 🐞
七點	七點 🕖
